SEASON,PLAYER,GP,MIN,PTS,REB,AST,FG_PCT,FG3_PCT,FT_PCT,TS_PCT,USG_PCT,PACE
2009-10,Stephen Curry,80,36.2,17.5,4.5,5.9,0.462,0.437,0.885,0.568,0.215,102.66
2010-11,Stephen Curry,74,33.6,18.6,3.9,5.8,0.48,0.442,0.934,0.595,0.237,97.74
2011-12,Stephen Curry,26,28.1,14.7,3.4,5.3,0.49,0.455,0.809,0.605,0.23,96.22
2012-13,Stephen Curry,78,38.2,22.9,4.0,6.9,0.451,0.453,0.9,0.589,0.257,96.55
2013-14,Stephen Curry,78,36.5,24.0,4.3,8.5,0.471,0.424,0.885,0.61,0.275,98.15
2014-15,Stephen Curry,80,32.7,23.8,4.3,7.7,0.487,0.443,0.914,0.638,0.277,101.47
2015-16,Stephen Curry,79,34.2,30.1,5.4,6.7,0.504,0.454,0.908,0.669,0.314,102.75
2016-17,Stephen Curry,79,33.4,25.3,4.5,6.6,0.468,0.411,0.898,0.624,0.286,103.28
2017-18,Stephen Curry,51,32.0,26.4,5.1,6.1,0.495,0.423,0.921,0.675,0.29,104.92
2018-19,Stephen Curry,69,33.8,27.3,5.3,5.2,0.472,0.437,0.916,0.641,0.292,104.18
2019-20,Stephen Curry,5,27.9,20.8,5.2,6.6,0.402,0.245,1.0,0.557,0.286,109.39
2020-21,Stephen Curry,63,34.2,32.0,5.5,5.8,0.482,0.421,0.916,0.655,0.331,105.16
2021-22,Stephen Curry,64,34.5,25.5,5.2,6.3,0.437,0.38,0.923,0.601,0.293,100.83
2022-23,Stephen Curry,56,34.7,29.4,6.1,6.3,0.493,0.427,0.915,0.656,0.297,104.68
2023-24,Stephen Curry,74,32.7,26.4,4.5,5.1,0.45,0.408,0.923,0.616,0.302,101.9
2024-25,Stephen Curry,70,32.2,24.5,4.4,6.0,0.448,0.397,0.933,0.618,0.286,101.72
